Date,Open,High,Low,Close,Volume,Change,Change Percent,VWAP
2/16/2024,183.42,184.85,181.67,182.31,49752500,-1.11,-0.60517,183.0625
2/20/2024,181.79,182.43,180,181.56,53665600,-0.23,-0.12652,181.445
2/21/2024,181.94,182.89,180.66,182.32,41529674,0.38,0.20886,181.9525
2/22/2024,183.48,184.96,182.46,184.37,52292208,0.89,0.48507,183.8175
2/23/2024,185.01,185.04,182.23,182.52,45119700,-2.49,-1.35,183.7
2/26/2024,182.24,182.76,180.65,181.16,40867421,-1.08,-0.59263,181.7025
2/27/2024,181.1,183.92,179.56,182.63,54318900,1.53,0.84484,181.8025
2/28/2024,182.51,183.12,180.13,181.42,48953939,-1.09,-0.59723,181.795
2/29/2024,181.27,182.57,179.53,180.75,136682600,-0.52,-0.28686,181.03
3/1/2024,179.55,180.53,177.38,179.66,73563100,0.11,0.06126427,179.28
3/4/2024,176.15,176.9,173.79,175.1,81510101,-1.05,-0.59608,175.485
3/5/2024,170.76,172.04,169.62,170.12,95132400,-0.64,-0.3748,170.635
3/6/2024,171.06,171.24,168.68,169.12,68587707,-1.94,-1.13,170.025
3/7/2024,169.15,170.73,168.49,169,71765100,-0.15,-0.08867869,169.3425
3/8/2024,169,173.7,168.94,170.73,76267041,1.73,1.02,170.5925
3/11/2024,172.94,174.38,172.05,172.75,60139500,-0.19,-0.10986,173.03
3/12/2024,173.15,174.03,171.01,173.23,59825400,0.08,0.04620271,172.855
3/13/2024,172.77,173.19,170.76,171.13,52488700,-1.64,-0.94924,171.9625
3/14/2024,172.91,174.31,172.05,173,72913507,0.09,0.0520502,173.0675
3/15/2024,171.17,172.62,170.29,172.62,121752700,1.45,0.84711,171.675
3/18/2024,175.57,177.71,173.52,173.72,75604200,-1.85,-1.05,175.13
3/19/2024,174.34,176.61,173.03,176.08,55215244,1.74,0.99805,175.015
3/20/2024,175.72,178.67,175.09,178.67,53423102,2.95,1.68,177.0375
3/21/2024,177.05,177.49,170.84,171.37,106181300,-5.68,-3.21,174.1875
3/22/2024,171.76,173.05,170.06,172.28,71160138,0.52,0.30275,171.7875
3/25/2024,170.57,171.94,169.45,170.85,54288328,0.285,0.16416,170.7025
3/26/2024,170,171.42,169.58,169.71,57388449,-0.29,-0.17059,170.1775
3/27/2024,170.41,173.6,170.11,173.31,60273300,2.9,1.7,171.8575
3/28/2024,171.75,172.23,170.51,171.48,65672700,-0.27,-0.15721,171.4925
4/1/2024,171.19,171.25,169.48,170.03,46240500,-1.16,-0.67761,170.4875
4/2/2024,169.08,169.34,168.23,168.84,49329500,-0.24,-0.14194,168.8725
4/3/2024,168.79,170.68,168.58,169.65,47691715,0.86,0.50951,169.425
4/4/2024,170.29,171.92,168.82,168.82,53704400,-1.47,-0.86323,169.9625
4/5/2024,169.59,170.39,168.95,169.58,42104826,-0.01,-0.00589657,169.6275
4/8/2024,169.03,169.2,168.24,168.45,37425513,-0.58,-0.34313,168.73
4/9/2024,168.7,170.08,168.35,169.67,42451209,0.97,0.57499,169.2
4/10/2024,168.8,169.09,167.11,167.78,49709336,-1.02,-0.60427,168.195
4/11/2024,168.34,175.46,168.16,175.04,91070300,6.7,3.98,171.75
4/12/2024,174.26,178.36,174.21,176.55,101670900,2.29,1.31,175.845
4/15/2024,175.36,176.63,172.5,172.69,73531800,-2.67,-1.52,174.295
4/16/2024,171.75,173.76,168.27,169.38,73711235,-2.37,-1.38,170.79
4/17/2024,169.61,170.65,168,168,50901210,-1.61,-0.94924,169.065
4/18/2024,168.03,168.64,166.55,167.04,43122903,-0.99,-0.58918,167.565
4/19/2024,166.21,166.4,164.08,165,68149400,-1.21,-0.72799,165.4225
4/22/2024,165.52,167.26,164.77,165.84,48116443,0.325,0.19333,165.8475
4/23/2024,165.35,167.05,164.92,166.9,49537800,1.55,0.93741,166.055
4/24/2024,166.54,169.3,166.21,169.02,48251835,2.48,1.49,167.7675
4/25/2024,169.53,170.61,168.15,169.89,50558329,0.365,0.21235,169.545
4/26/2024,169.88,171.34,169.18,169.3,44838400,-0.58,-0.34142,169.925
4/29/2024,173.37,176.03,173.1,173.5,68169419,0.13,0.07498414,174
4/30/2024,173.33,174.99,170,170.33,65934800,-3,-1.73,172.1625
5/1/2024,169.58,172.71,169.11,169.3,50383147,-0.28,-0.16511,170.175
